"1","Sumatra"
"2","Bangka"
"3","Belitung"
"4","Jawa"
"5","Kalimantan"
"6","Sulawesi"
"7","Bali"
"8","Nusa Tenggara Barat"
"9","Nusa Tenggara Timur"
"10","Papua"
"11","Riau"
